Year,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness_1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Life_expectancy,
2014,125,1,6.13,221.48,91.00,3188.00,55.30,1.00,91.00,7.42,91.00,0.10,4429.66,3727.00,2.70,2.80,0.76,13.50,74.50,
2013,128,1,5.91,180.38,96.00,7872.00,54.40,1.00,94.00,7.25,93.00,0.10,4274.38,3776.00,2.70,2.80,0.76,13.50,74.50,
2012,13,1,7.71,158.26,92.00,31.00,53.60,1.00,93.00,8.57,92.00,0.10,4142.87,3825.00,2.60,2.80,0.75,13.40,74.20,
2011,127,1,8.14,198.95,89.00,64.00,52.80,1.00,88.00,9.38,94.00,0.10,3725.63,3875.00,2.60,2.80,0.74,13.30,73.90,
2010,132,1,7.24,194.17,95.00,22.00,52.00,1.00,88.00,1.50,92.00,0.10,2964.48,3926.00,2.60,2.80,0.74,13.30,73.80,
2009,133,1,6.66,18.53,54.00,23.00,51.30,1.00,93.00,1.19,88.00,0.10,276.59,3978.00,2.60,2.80,0.73,12.80,73.20,
2008,128,1,7.17,151.76,89.00,56.00,5.50,1.00,9.00,8.99,92.00,0.10,3174.95,43.00,2.60,2.80,0.73,13.10,73.90,
2007,12,1,8.65,106.16,94.00,44.00,49.90,1.00,88.00,8.17,98.00,0.10,2492.13,482.00,2.70,2.90,0.72,12.50,74.40,
2006,126,1,6.18,110.11,84.00,334.00,49.20,1.00,89.00,8.39,88.00,0.10,1872.68,4136.00,2.70,2.90,0.71,12.60,73.90,
2005,128,1,4.7,9.44,79.00,1356.00,48.60,1.00,82.00,8.60,82.00,0.10,153.58,419.00,2.80,2.90,0.70,12.20,73.90,
2004,134,1,3.74,7.13,64.00,6847.00,48.10,1.00,66.00,8.53,78.00,0.10,127.37,4245.00,2.80,3.00,0.69,12.00,72.30,
2003,132,1,3.36,70.54,48.00,216.00,47.50,2.00,74.00,8.49,75.00,0.10,928.18,431.00,2.90,3.00,0.68,11.80,72.70,
2002,142,2,2.72,60.56,51.00,199.00,47.00,2.00,89.00,8.72,84.00,0.10,779.38,4357.00,2.90,3.00,0.68,11.80,71.70,
2001,121,2,2.76,57.10,61.00,35.00,46.50,2.00,83.00,7.82,87.00,0.10,733.97,43864.00,3.00,3.10,0.67,11.70,73.00,
2000,129,2,3.28,47.82,55.00,50.00,46.00,2.00,81.00,6.94,8.00,0.10,692.00,44183.00,3.10,3.10,0.00,11.40,71.80,
