Year,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness_1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Life_expectancy,Year_Anomaly_ZScore,Adult_Mortality_Anomaly_ZScore,infant_deaths_Anomaly_ZScore,Alcohol_Anomaly_ZScore,percentage_expenditure_Anomaly_ZScore,Hepatitis_B_Anomaly_ZScore,Measles_Anomaly_ZScore,BMI_Anomaly_ZScore,under_five_deaths_Anomaly_ZScore,Polio_Anomaly_ZScore,Total_expenditure_Anomaly_ZScore,Diphtheria_Anomaly_ZScore,HIV_AIDS_Anomaly_ZScore,GDP_Anomaly_ZScore,Population_Anomaly_ZScore,thinness_1_19_years_Anomaly_ZScore,thinness_5_9_years_Anomaly_ZScore,Income_composition_of_resources_Anomaly_ZScore,Schooling_Anomaly_ZScore,Life_expectancy_Anomaly_ZScore,Year_Anomaly_IQR,Adult_Mortality_Anomaly_IQR,infant_deaths_Anomaly_IQR,Alcohol_Anomaly_IQR,percentage_expenditure_Anomaly_IQR,Hepatitis_B_Anomaly_IQR,Measles_Anomaly_IQR,BMI_Anomaly_IQR,under_five_deaths_Anomaly_IQR,Polio_Anomaly_IQR,Total_expenditure_Anomaly_IQR,Diphtheria_Anomaly_IQR,HIV_AIDS_Anomaly_IQR,GDP_Anomaly_IQR,Population_Anomaly_IQR,thinness_1_19_years_Anomaly_IQR,thinness_5_9_years_Anomaly_IQR,Income_composition_of_resources_Anomaly_IQR,Schooling_Anomaly_IQR,Life_expectancy_Anomaly_IQR
2000,129,2,3.280000000000000000,47.81704183000000100,55,50,46.0000000000000000,2,81,6.9400000000000000,8,0.1000000000000000,691.9977109999999800,44183.0000000000,3.1000000000000000,3.1000000000000000,0E-17,11.4000000000000000,71.800000000000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2004,86,3,11.830000000000000000,5842.37476499999960000,88,121,57.1000000000000000,3,96,1.3700000000000000,96,0.1000000000000000,34165.9343000000010000,8251626.0000000000,1.1000000000000001,1.1000000000000001,0.87700000000000000,16.3999999999999990,79.099999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000,182,0,9.400000000000000000,676.54538779999996000,92,0,37.7000000000000030,0,97,6.6200000000000000,97,0.1000000000000000,5117.5899230000005000,null,4.3000000000000000,4.2000000000000000,0E-17,14.1000000000000000,74.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,299,27,0.010000000000000000,50.57976483000000200,51,175,22.7000000000000000,41,42,5.6400000000000000,51,0.5000000000000000,561.9973870000000000,118559.0000000000,7.5000000000000000,7.4000000000000000,0.41199999999999998,8.6000000000000000,58.100000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,297,29,0.180000000000000000,24.84763561999999800,57,264,2.2999999999999998,46,6,3.8500000000000000,57,2.2999999999999998,436.6895539000000200,1556524.0000000000,8.4000000000000000,8.4000000000000000,0.37600000000000000,8.1000000000000000,57.300000000000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2004,334,33,0.340000000000000000,18.93011259000000000,92,10,18.1000000000000010,53,65,3.1400000000000000,6,2.8000000000000000,386.3288283000000000,949229.0000000000,9.5000000000000000,9.5000000000000000,0.32500000000000001,5.0999999999999996,54.000000000000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2012,285,4,0.010000000000000000,0.94852636599999995,87,0,24.3000000000000000,6,87,5.9600000000000000,87,5.3000000000000000,67.7518833000000030,1638139.0000000000,7.7000000000000000,7.5000000000000000,0.41599999999999998,9.1000000000000000,57.600000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,297,5,2.640000000000000000,28.30191127000000200,92,12,21.9000000000000000,7,77,6.5000000000000000,77,6.0000000000000000,583.5445621999999700,148841.0000000000,8.5000000000000000,8.4000000000000000,0.39800000000000002,8.8000000000000007,55.600000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,24,1,7.040000000000000000,170.63258420000000000,93,0,39.6000000000000000,1,92,4.6700000000000000,93,1.1000000000000001,1945.6395000000000000,74961.0000000000,5.7000000000000000,5.5000000000000000,0.62200000000000000,11.7000000000000000,65.200000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,157,4,3.080000000000000000,286.12114459999998000,97,0,45.9000000000000000,5,97,8.8400000000000000,97,0.5000000000000000,1815.4894959999999000,83521.0000000000,2.2999999999999998,2.2000000000000002,0.60299999999999998,11.3000000000000000,73.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
