CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Region,Manager,Returned
MN-17935,35,10,2477.946,3,2,3,8,Loyal,South,Cassandra Brandow,true
MN-17935,35,10,2477.946,3,2,3,8,Loyal,East,Chuck Magee,true
MO-17500,73,5,922.487,3,1,1,5,Potential,East,Chuck Magee,false
MO-17500,73,5,922.487,3,1,1,5,Potential,Central,Kelly Williams,false
MO-17800,105,11,1687.027,2,2,2,6,Potential,East,Chuck Magee,false
MO-17800,105,11,1687.027,2,2,2,6,Potential,West,Anna Andreadi,false
MO-17800,105,11,1687.027,2,2,2,6,Potential,Central,Kelly Williams,false
MO-17800,105,11,1687.027,2,2,2,6,Potential,South,Cassandra Brandow,false
MO-17950,181,4,154.288,2,1,1,4,Dormant,South,Cassandra Brandow,false
MO-17950,181,4,154.288,2,1,1,4,Dormant,Central,Kelly Williams,false
MP-17470,720,14,3206.132,1,3,3,7,Loyal,East,Chuck Magee,false
MP-17470,720,14,3206.132,1,3,3,7,Loyal,South,Cassandra Brandow,false
MP-17470,720,14,3206.132,1,3,3,7,Loyal,Central,Kelly Williams,false
MP-17965,73,20,3983.642,3,4,4,11,Champions,Central,Kelly Williams,false
MP-17965,73,20,3983.642,3,4,4,11,Champions,South,Cassandra Brandow,false
MP-17965,73,20,3983.642,3,4,4,11,Champions,East,Chuck Magee,false
MP-18175,17,19,5087.92,4,4,4,12,Champions,Central,Kelly Williams,true
MP-18175,17,19,5087.92,4,4,4,12,Champions,West,Anna Andreadi,true
MP-18175,17,19,5087.92,4,4,4,12,Champions,East,Chuck Magee,true
MR-17545,126,6,639.178,2,1,1,4,Dormant,Central,Kelly Williams,false
MR-17545,126,6,639.178,2,1,1,4,Dormant,East,Chuck Magee,false
MR-17545,126,6,639.178,2,1,1,4,Dormant,West,Anna Andreadi,false
MS-17365,274,24,7443.6900000000005,1,4,4,9,Loyal,South,Cassandra Brandow,true
MS-17365,274,24,7443.6900000000005,1,4,4,9,Loyal,West,Anna Andreadi,true
MS-17365,274,24,7443.6900000000005,1,4,4,9,Loyal,Central,Kelly Williams,true
MS-17365,274,24,7443.6900000000005,1,4,4,9,Loyal,East,Chuck Magee,true
MS-17530,435,7,475.65599999999995,1,1,1,3,Dormant,West,Anna Andreadi,false
MS-17530,435,7,475.65599999999995,1,1,1,3,Dormant,East,Chuck Magee,false
MS-17530,435,7,475.65599999999995,1,1,1,3,Dormant,South,Cassandra Brandow,false
MS-17710,414,15,1613.402,1,3,2,6,Potential,Central,Kelly Williams,false
MS-17710,414,15,1613.402,1,3,2,6,Potential,South,Cassandra Brandow,false
MS-17710,414,15,1613.402,1,3,2,6,Potential,East,Chuck Magee,false
MS-17710,414,15,1613.402,1,3,2,6,Potential,West,Anna Andreadi,false
MS-17770,122,19,3144.678,2,4,3,9,Loyal,East,Chuck Magee,false
MS-17770,122,19,3144.678,2,4,3,9,Loyal,South,Cassandra Brandow,false
MS-17770,122,19,3144.678,2,4,3,9,Loyal,West,Anna Andreadi,false
MS-17770,122,19,3144.678,2,4,3,9,Loyal,Central,Kelly Williams,false
MS-17830,453,5,370.348,1,1,1,3,Dormant,East,Chuck Magee,false
MS-17830,453,5,370.348,1,1,1,3,Dormant,Central,Kelly Williams,false
MS-17830,453,5,370.348,1,1,1,3,Dormant,West,Anna Andreadi,false
MS-17980,27,11,855.116,4,2,1,7,Loyal,East,Chuck Magee,false
MS-17980,27,11,855.116,4,2,1,7,Loyal,Central,Kelly Williams,false
MT-17815,50,10,2890.139,3,2,3,8,Loyal,West,Anna Andreadi,false
MT-17815,50,10,2890.139,3,2,3,8,Loyal,Central,Kelly Williams,false
MT-17815,50,10,2890.139,3,2,3,8,Loyal,South,Cassandra Brandow,false
MT-17815,50,10,2890.139,3,2,3,8,Loyal,East,Chuck Magee,false
MT-18070,204,11,1319.4497999999999,1,2,2,5,Potential,Central,Kelly Williams,true
MT-18070,204,11,1319.4497999999999,1,2,2,5,Potential,West,Anna Andreadi,true
MV-17485,28,15,1560.0500000000002,4,3,2,9,Loyal,Central,Kelly Williams,true
MV-17485,28,15,1560.0500000000002,4,3,2,9,Loyal,West,Anna Andreadi,true
MV-17485,28,15,1560.0500000000002,4,3,2,9,Loyal,East,Chuck Magee,true
MV-17485,28,15,1560.0500000000002,4,3,2,9,Loyal,South,Cassandra Brandow,true
MV-18190,20,11,1734.574,4,2,2,8,Loyal,Central,Kelly Williams,false
MV-18190,20,11,1734.574,4,2,2,8,Loyal,East,Chuck Magee,false
MV-18190,20,11,1734.574,4,2,2,8,Loyal,West,Anna Andreadi,false
MV-18190,20,11,1734.574,4,2,2,8,Loyal,South,Cassandra Brandow,false
MW-18220,18,14,5341.900000000001,4,3,4,11,Champions,East,Chuck Magee,false
MW-18220,18,14,5341.900000000001,4,3,4,11,Champions,West,Anna Andreadi,false
MW-18220,18,14,5341.900000000001,4,3,4,11,Champions,Central,Kelly Williams,false
MW-18235,45,3,5253.876,3,1,4,8,Loyal,South,Cassandra Brandow,true
MW-18235,45,3,5253.876,3,1,4,8,Loyal,West,Anna Andreadi,true
MY-17380,30,13,2254.285,4,3,2,9,Loyal,West,Anna Andreadi,true
MY-17380,30,13,2254.285,4,3,2,9,Loyal,Central,Kelly Williams,true
MY-17380,30,13,2254.285,4,3,2,9,Loyal,South,Cassandra Brandow,true
MY-17380,30,13,2254.285,4,3,2,9,Loyal,East,Chuck Magee,true
MY-18295,72,21,4152.696,3,4,4,11,Champions,East,Chuck Magee,false
MY-18295,72,21,4152.696,3,4,4,11,Champions,Central,Kelly Williams,false
MY-18295,72,21,4152.696,3,4,4,11,Champions,South,Cassandra Brandow,false
MY-18295,72,21,4152.696,3,4,4,11,Champions,West,Anna Andreadi,false
MZ-17335,31,6,593.606,4,1,1,6,Potential,West,Anna Andreadi,false
MZ-17515,283,10,2564.906,1,2,3,6,Potential,Central,Kelly Williams,false
MZ-17515,283,10,2564.906,1,2,3,6,Potential,West,Anna Andreadi,false
MZ-17515,283,10,2564.906,1,2,3,6,Potential,East,Chuck Magee,false
NB-18580,1166,2,273.87199999999996,1,1,1,3,Dormant,South,Cassandra Brandow,false
NB-18580,1166,2,273.87199999999996,1,1,1,3,Dormant,East,Chuck Magee,false
NB-18655,20,17,1972.599,4,4,2,10,Champions,Central,Kelly Williams,true
NB-18655,20,17,1972.599,4,4,2,10,Champions,East,Chuck Magee,true
NB-18655,20,17,1972.599,4,4,2,10,Champions,South,Cassandra Brandow,true
NB-18655,20,17,1972.599,4,4,2,10,Champions,West,Anna Andreadi,true
NC-18340,225,17,2461.404,1,4,3,8,Loyal,Central,Kelly Williams,false
NC-18340,225,17,2461.404,1,4,3,8,Loyal,East,Chuck Magee,false
NC-18415,42,14,2218.9900000000002,3,3,2,8,Loyal,Central,Kelly Williams,false
NC-18415,42,14,2218.9900000000002,3,3,2,8,Loyal,East,Chuck Magee,false
NC-18415,42,14,2218.9900000000002,3,3,2,8,Loyal,South,Cassandra Brandow,false
NC-18415,42,14,2218.9900000000002,3,3,2,8,Loyal,West,Anna Andreadi,false
NC-18535,7,15,8241.739000000001,4,3,4,11,Champions,East,Chuck Magee,false
NC-18535,7,15,8241.739000000001,4,3,4,11,Champions,South,Cassandra Brandow,false
NC-18535,7,15,8241.739000000001,4,3,4,11,Champions,West,Anna Andreadi,false
NC-18535,7,15,8241.739000000001,4,3,4,11,Champions,Central,Kelly Williams,false
NC-18625,205,9,1821.742,1,2,2,5,Potential,Central,Kelly Williams,false
NC-18625,205,9,1821.742,1,2,2,5,Potential,West,Anna Andreadi,false
NC-18625,205,9,1821.742,1,2,2,5,Potential,East,Chuck Magee,false
ND-18370,28,18,4326.139,4,4,4,12,Champions,East,Chuck Magee,false
ND-18370,28,18,4326.139,4,4,4,12,Champions,Central,Kelly Williams,false
ND-18370,28,18,4326.139,4,4,4,12,Champions,West,Anna Andreadi,false
ND-18370,28,18,4326.139,4,4,4,12,Champions,South,Cassandra Brandow,false
ND-18460,184,8,2893.455,2,2,3,7,Loyal,South,Cassandra Brandow,false
ND-18460,184,8,2893.455,2,2,3,7,Loyal,West,Anna Andreadi,false
ND-18460,184,8,2893.455,2,2,3,7,Loyal,East,Chuck Magee,false
NF-18385,80,14,8322.826,2,3,4,9,Loyal,Central,Kelly Williams,false
NF-18385,80,14,8322.826,2,3,4,9,Loyal,South,Cassandra Brandow,false
NF-18385,80,14,8322.826,2,3,4,9,Loyal,East,Chuck Magee,false
NF-18475,526,4,377.16200000000003,1,1,1,3,Dormant,West,Anna Andreadi,false
NF-18475,526,4,377.16200000000003,1,1,1,3,Dormant,Central,Kelly Williams,false
NF-18475,526,4,377.16200000000003,1,1,1,3,Dormant,South,Cassandra Brandow,false
NF-18595,115,12,2031.472,2,3,2,7,Loyal,East,Chuck Magee,false
NF-18595,115,12,2031.472,2,3,2,7,Loyal,West,Anna Andreadi,false
NF-18595,115,12,2031.472,2,3,2,7,Loyal,Central,Kelly Williams,false
NG-18355,49,16,1869.58,3,4,2,9,Loyal,East,Chuck Magee,true
NG-18355,49,16,1869.58,3,4,2,9,Loyal,Central,Kelly Williams,true
NG-18355,49,16,1869.58,3,4,2,9,Loyal,South,Cassandra Brandow,true
NG-18430,49,9,1395.938,3,2,2,7,Loyal,East,Chuck Magee,false
NG-18430,49,9,1395.938,3,2,2,7,Loyal,Central,Kelly Williams,false
