Table,Column,TotalRecords,NotNulls,Nulls
samplesuperstore.bronzedata.orders,row_id,10194,10194,0
samplesuperstore.bronzedata.orders,order_id,10194,10194,0
samplesuperstore.bronzedata.orders,order_date,10194,10194,0
samplesuperstore.bronzedata.orders,ship_date,10194,10194,0
samplesuperstore.bronzedata.orders,ship_mode,10194,10194,0
samplesuperstore.bronzedata.orders,customer_id,10194,10194,0
samplesuperstore.bronzedata.orders,customer_name,10194,10194,0
samplesuperstore.bronzedata.orders,segment,10194,10194,0
samplesuperstore.bronzedata.orders,country,10194,10194,0
samplesuperstore.bronzedata.orders,city,10194,10194,0
samplesuperstore.bronzedata.orders,state,10194,10194,0
samplesuperstore.bronzedata.orders,postal_code,10194,9994,200
samplesuperstore.bronzedata.orders,region,10194,10194,0
samplesuperstore.bronzedata.orders,product_id,10194,10194,0
samplesuperstore.bronzedata.orders,category,10194,10194,0
samplesuperstore.bronzedata.orders,sub_category,10194,10194,0
samplesuperstore.bronzedata.orders,product_name,10194,10194,0
samplesuperstore.bronzedata.orders,sales,10194,10194,0
samplesuperstore.bronzedata.orders,quantity,10194,10194,0
samplesuperstore.bronzedata.orders,discount,10194,10194,0
samplesuperstore.bronzedata.orders,profit,10194,10194,0
samplesuperstore.bronzedata.orders,price,10194,10194,0
samplesuperstore.bronzedata.orders,cost,10194,10194,0
samplesuperstore.bronzedata.people,row_id,10194,10194,0
samplesuperstore.bronzedata.people,order_id,10194,10194,0
samplesuperstore.bronzedata.people,order_date,10194,10194,0
samplesuperstore.bronzedata.people,ship_date,10194,10194,0
samplesuperstore.bronzedata.people,ship_mode,10194,10194,0
samplesuperstore.bronzedata.people,customer_id,10194,10194,0
samplesuperstore.bronzedata.people,customer_name,10194,10194,0
samplesuperstore.bronzedata.people,segment,10194,10194,0
samplesuperstore.bronzedata.people,country,10194,10194,0
samplesuperstore.bronzedata.people,city,10194,10194,0
samplesuperstore.bronzedata.people,state,10194,10194,0
samplesuperstore.bronzedata.people,postal_code,10194,9994,200
samplesuperstore.bronzedata.people,region,10194,10194,0
samplesuperstore.bronzedata.people,product_id,10194,10194,0
samplesuperstore.bronzedata.people,category,10194,10194,0
samplesuperstore.bronzedata.people,sub_category,10194,10194,0
samplesuperstore.bronzedata.people,product_name,10194,10194,0
samplesuperstore.bronzedata.people,sales,10194,10194,0
samplesuperstore.bronzedata.people,quantity,10194,10194,0
samplesuperstore.bronzedata.people,discount,10194,10194,0
samplesuperstore.bronzedata.people,profit,10194,10194,0
samplesuperstore.bronzedata.people,price,10194,10194,0
samplesuperstore.bronzedata.people,cost,10194,10194,0
samplesuperstore.bronzedata.returns,row_id,10194,10194,0
samplesuperstore.bronzedata.returns,order_id,10194,10194,0
samplesuperstore.bronzedata.returns,order_date,10194,10194,0
samplesuperstore.bronzedata.returns,ship_date,10194,10194,0
samplesuperstore.bronzedata.returns,ship_mode,10194,10194,0
samplesuperstore.bronzedata.returns,customer_id,10194,10194,0
samplesuperstore.bronzedata.returns,customer_name,10194,10194,0
samplesuperstore.bronzedata.returns,segment,10194,10194,0
samplesuperstore.bronzedata.returns,country,10194,10194,0
samplesuperstore.bronzedata.returns,city,10194,10194,0
samplesuperstore.bronzedata.returns,state,10194,10194,0
samplesuperstore.bronzedata.returns,postal_code,10194,9994,200
samplesuperstore.bronzedata.returns,region,10194,10194,0
samplesuperstore.bronzedata.returns,product_id,10194,10194,0
samplesuperstore.bronzedata.returns,category,10194,10194,0
samplesuperstore.bronzedata.returns,sub_category,10194,10194,0
samplesuperstore.bronzedata.returns,product_name,10194,10194,0
samplesuperstore.bronzedata.returns,sales,10194,10194,0
samplesuperstore.bronzedata.returns,quantity,10194,10194,0
samplesuperstore.bronzedata.returns,discount,10194,10194,0
samplesuperstore.bronzedata.returns,profit,10194,10194,0
samplesuperstore.bronzedata.returns,price,10194,10194,0
samplesuperstore.bronzedata.returns,cost,10194,10194,0
