RowID,OrderID,ShipDate,ShipMode,CustomerID,PostalCode,sales,profit,ProductID,City
9400,CA-2016-103128,2016-11-15,Standard Class,SC-20845,60004,14.11,1.23,OFF-AR-10003394,Arlington Heights
2373,CA-2016-159940,2016-07-11,Second Class,BF-11020,60505,2.63,0.82,OFF-FA-10000936,Aurora
9392,CA-2017-162474,2017-03-16,First Class,FH-14275,60505,7.99,2.60,TEC-PH-10004700,Aurora
659,US-2016-156097,2016-09-19,Same Day,EH-14125,60505,2.31,-3.46,OFF-BI-10004654,Aurora
8271,CA-2017-121790,2017-02-06,Standard Class,LP-17095,60505,9.34,3.15,OFF-AR-10003602,Aurora
4358,CA-2017-162565,2017-12-11,Same Day,RR-19315,60505,10.37,3.63,OFF-PA-10001937,Aurora
8327,CA-2017-103478,2017-07-24,Second Class,KL-16555,60505,2.86,-4.58,OFF-BI-10001890,Aurora
2374,CA-2016-159940,2016-07-11,Second Class,BF-11020,60505,23.69,7.70,OFF-PA-10001609,Aurora
1577,CA-2016-109057,2016-04-27,Standard Class,TT-21460,60505,23.95,2.40,OFF-ST-10002406,Aurora
8269,CA-2017-121790,2017-02-06,Standard Class,LP-17095,60505,31.68,2.77,OFF-SU-10004231,Aurora
8248,CA-2015-129217,2015-05-10,Same Day,DP-13390,60505,36.78,3.68,OFF-AR-10004602,Aurora
2208,US-2014-103905,2014-07-20,Standard Class,AW-10930,60505,38.27,3.83,TEC-PH-10001552,Aurora
8882,CA-2016-135594,2016-07-03,Second Class,AH-10120,60505,50.12,-0.63,TEC-AC-10003038,Aurora
2207,US-2014-103905,2014-07-20,Standard Class,AW-10930,60505,29.93,-46.39,OFF-BI-10001098,Aurora
2372,CA-2016-159940,2016-07-11,Second Class,BF-11020,60505,60.29,-27.13,FUR-FU-10004973,Aurora
1396,US-2017-117247,2017-10-14,Standard Class,CK-12760,60505,66.64,-42.65,FUR-TA-10001676,Aurora
8268,CA-2017-121790,2017-02-06,Standard Class,LP-17095,60505,69.38,-47.17,FUR-TA-10003469,Aurora
2643,CA-2016-124051,2016-12-30,First Class,KA-16525,60505,186.05,67.44,OFF-PA-10001289,Aurora
4359,CA-2017-162565,2017-12-11,Same Day,RR-19315,60505,77.72,-66.06,FUR-FU-10004306,Aurora
6949,CA-2015-130365,2015-04-29,Standard Class,ZC-21910,60505,128.06,-23.78,FUR-CH-10003535,Aurora
1382,US-2016-100566,2016-09-09,Standard Class,JK-16120,60505,83.95,-90.25,FUR-FU-10003394,Aurora
9745,CA-2017-141782,2017-01-25,Standard Class,BE-11410,60505,268.58,90.64,OFF-EN-10002230,Aurora
8328,CA-2017-103478,2017-07-24,Second Class,KL-16555,60505,94.19,-164.84,OFF-BI-10004224,Aurora
8247,CA-2015-129217,2015-05-10,Same Day,DP-13390,60505,70.97,-191.62,OFF-AP-10002439,Aurora
2375,CA-2016-159940,2016-07-11,Second Class,BF-11020,60505,253.37,-14.48,FUR-CH-10000785,Aurora
3107,CA-2017-127460,2017-07-14,Standard Class,FG-14260,60505,298.46,26.12,OFF-ST-10004340,Aurora
6948,CA-2015-130365,2015-04-29,Standard Class,ZC-21910,60505,221.02,-55.26,OFF-ST-10002574,Aurora
8944,CA-2017-111717,2017-10-16,Standard Class,SW-20245,60505,239.36,-47.87,FUR-CH-10001545,Aurora
4722,CA-2014-106229,2014-06-11,Second Class,NR-18550,60505,268.94,-209.77,FUR-TA-10002041,Aurora
4360,CA-2017-162565,2017-12-11,Same Day,RR-19315,60505,520.46,-14.87,FUR-CH-10003973,Aurora
7879,CA-2016-160241,2016-12-04,Second Class,DR-12940,60505,242.18,-302.72,FUR-FU-10003806,Aurora
658,US-2016-156097,2016-09-19,Same Day,EH-14125,60505,701.37,-50.10,FUR-CH-10001215,Aurora
1395,US-2017-117247,2017-10-14,Standard Class,CK-12760,60505,652.45,-430.62,FUR-TA-10002958,Aurora
3520,CA-2015-124975,2015-06-25,First Class,MG-17875,60505,796.42,-525.64,FUR-TA-10002645,Aurora
8270,CA-2017-121790,2017-02-06,Standard Class,LP-17095,60505,2003.17,250.40,TEC-PH-10002584,Aurora
9725,CA-2015-117898,2015-12-11,Standard Class,TB-21250,61701,12.22,4.43,OFF-EN-10004459,Bloomington
6687,US-2015-129637,2015-12-22,Standard Class,MC-18100,61701,13.12,1.48,OFF-AR-10003829,Bloomington
1174,US-2015-104430,2015-10-26,Standard Class,LT-17110,61701,5.18,-7.76,OFF-BI-10000301,Bloomington
