ProductID,Segment,Category,SubCategory,ProductName
TEC-AC-10003709,Home Office,Technology,Sub Category,Product Name
OFF-FA-10000490,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10001868,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10001868,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10001868,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10003784,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10004582,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10002012,Consumer,Office Supplies,Sub Category,Product Name
OFF-EN-10001509,Consumer,Office Supplies,Sub Category,Product Name
OFF-EN-10001509,Corporate,Office Supplies,Sub Category,Product Name
TEC-AC-10003433,Home Office,Technology,Sub Category,Product Name
TEC-AC-10003433,Corporate,Technology,Sub Category,Product Name
TEC-AC-10003709,Consumer,Technology,Sub Category,Product Name
OFF-BI-10004656,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10002676,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10002676,Home Office,Office Supplies,Sub Category,Product Name
OFF-FA-10000840,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10003059,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10001026,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10001315,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10003087,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10000490,Corporate,Office Supplies,Sub Category,Product Name
OFF-FA-10000490,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10001919,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10000634,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10001045,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10002368,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10000262,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10004876,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10003529,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10000546,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10000546,Home Office,Office Supplies,Sub Category,Product Name
OFF-LA-10004559,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10004022,Corporate,Office Supplies,Sub Category,Product Name
OFF-FA-10001332,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10001332,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10004272,Corporate,Office Supplies,Sub Category,Product Name
OFF-FA-10000611,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10000611,Corporate,Office Supplies,Sub Category,Product Name
OFF-FA-10000611,Consumer,Office Supplies,Sub Category,Product Name
FUR-FU-10000206,Consumer,Furniture,Sub Category,Product Name
OFF-AP-10002906,Consumer,Office Supplies,Sub Category,Product Name
OFF-AP-10002906,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10000145,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10000422,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10000134,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10002381,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10004707,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10001547,Consumer,Office Supplies,Sub Category,Product Name
TEC-AC-10003433,Corporate,Technology,Sub Category,Product Name
TEC-AC-10003433,Corporate,Technology,Sub Category,Product Name
TEC-AC-10003433,Consumer,Technology,Sub Category,Product Name
OFF-LA-10000452,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10000452,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10001317,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10001317,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10001641,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10003766,Corporate,Office Supplies,Sub Category,Product Name
TEC-AC-10003709,Corporate,Technology,Sub Category,Product Name
OFF-AR-10003251,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10001868,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10004582,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10000936,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10000936,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10000462,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10002659,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10003469,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10003469,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10003469,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10003469,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10004528,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10004528,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10001940,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10003196,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10002012,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10002012,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10002012,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10001754,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10001118,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10002335,Consumer,Office Supplies,Sub Category,Product Name
OFF-EN-10004030,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10002787,Home Office,Office Supplies,Sub Category,Product Name
OFF-LA-10003714,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10002787,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10000081,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10004187,Corporate,Office Supplies,Sub Category,Product Name
OFF-LA-10001404,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10003720,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10000443,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10001022,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10002160,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10002160,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10001662,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10003759,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10003759,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10003759,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10000817,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10000605,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10000591,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10000591,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10002255,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10002988,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10002988,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10000369,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10003732,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10003732,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10003190,Consumer,Office Supplies,Sub Category,Product Name
OFF-SU-10001935,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10004182,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10003723,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10000940,Corporate,Office Supplies,Sub Category,Product Name
OFF-EN-10001509,Corporate,Office Supplies,Sub Category,Product Name
OFF-EN-10001509,Consumer,Office Supplies,Sub Category,Product Name
OFF-EN-10001509,Home Office,Office Supplies,Sub Category,Product Name
OFF-BI-10003727,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10002813,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10002813,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10002813,Corporate,Office Supplies,Sub Category,Product Name
FUR-FU-10001935,Corporate,Furniture,Sub Category,Product Name
OFF-BI-10004970,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10004757,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10004757,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10004757,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10004484,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10000390,Consumer,Office Supplies,Sub Category,Product Name
OFF-LA-10004178,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10002557,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10002557,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10003460,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10002257,Consumer,Office Supplies,Sub Category,Product Name
OFF-AP-10003622,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10000611,Corporate,Office Supplies,Sub Category,Product Name
OFF-PA-10000141,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10000141,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10002375,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10003829,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10003183,Corporate,Office Supplies,Sub Category,Product Name
OFF-PA-10003657,Home Office,Office Supplies,Sub Category,Product Name
OFF-PA-10004239,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10000130,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10000327,Corporate,Office Supplies,Sub Category,Product Name
FUR-FU-10001852,Consumer,Furniture,Sub Category,Product Name
FUR-FU-10001852,Consumer,Furniture,Sub Category,Product Name
OFF-AR-10001149,Corporate,Office Supplies,Sub Category,Product Name
OFF-AR-10001149,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10002615,Home Office,Office Supplies,Sub Category,Product Name
OFF-PA-10002615,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10004000,Home Office,Office Supplies,Sub Category,Product Name
FUR-FU-10003981,Consumer,Furniture,Sub Category,Product Name
OFF-FA-10003472,Home Office,Office Supplies,Sub Category,Product Name
OFF-FA-10003059,Home Office,Office Supplies,Sub Category,Product Name
OFF-FA-10003059,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10003059,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10003059,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10000138,Corporate,Office Supplies,Sub Category,Product Name
OFF-FA-10003021,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10003021,Home Office,Office Supplies,Sub Category,Product Name
OFF-FA-10003021,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10003314,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10000201,Consumer,Office Supplies,Sub Category,Product Name
OFF-BI-10004140,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10004140,Corporate,Office Supplies,Sub Category,Product Name
OFF-BI-10004140,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10001972,Consumer,Office Supplies,Sub Category,Product Name
OFF-FA-10004076,Consumer,Office Supplies,Sub Category,Product Name
OFF-PA-10001622,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10001315,Home Office,Office Supplies,Sub Category,Product Name
OFF-AR-10001545,Consumer,Office Supplies,Sub Category,Product Name
OFF-AR-10001545,Corporate,Office Supplies,Sub Category,Product Name
