Sales,Profit,Discount,Order_ID
16.448,5.5512,0.2,US-2023-103800
3.54,-5.487,0.8,US-2023-112326
11.784,4.2717,0.2,US-2023-112326
272.736,-64.7748,0.2,US-2023-112326
19.536,4.884,0.2,US-2023-141817
2573.82,746.4078,0.0,US-2023-167199
5.48,1.4796,0.0,US-2023-167199
12.78,5.2398,0.0,US-2023-106054
609.98,274.491,0.0,US-2023-167199
31.12,0.3112,0.0,US-2023-167199
6.54,3.0084,0.0,US-2023-167199
19.44,9.3312,0.0,US-2023-130813
755.96,204.1092,0.0,US-2023-167199
391.98,113.6742,0.0,US-2023-167199
76.728,-53.7096,0.6,US-2023-105417
10.43,-18.2525,0.8,US-2023-105417
9.344,1.168,0.2,US-2023-135405
31.2,9.75,0.2,US-2023-135405
51.94,21.2954,0.0,US-2023-149020
2.89,1.3583,0.0,US-2023-149020
9.94,3.0814,0.0,US-2023-130092
333.999,3.9294,0.15,US-2023-157147
545.94,87.3504,0.0,US-2023-109232
19.9,6.567,0.0,US-2023-157147
3.438,-2.5212,0.7,US-2023-118192
5.64,2.7072,0.0,US-2023-162775
50.94,25.47,0.0,US-2023-162775
11.36,5.3392,0.0,US-2023-162775
37.408,13.0928,0.2,US-2023-118192
572.58,34.3548,0.0,US-2023-162775
1325.85,238.653,0.0,US-2023-157147
646.74,258.696,0.0,US-2023-162775
61.96,-53.2856,0.5,US-2023-149524
149.95,65.978,0.0,US-2023-103366
127.104,28.5984,0.2,US-2023-115791
18.588,-13.6312,0.7,US-2023-115791
30.072,10.1493,0.2,US-2023-115791
124.2,-31.05,0.4,US-2023-115791
64.864,6.4864,0.2,US-2023-123477
181.47,-320.597,0.7,US-2023-146591
32.34,-23.716,0.7,US-2023-146591
108.72,36.693,0.2,US-2023-146591
56.064,19.6224,0.2,US-2023-146591
1067.94,224.2674,0.0,US-2023-147627
14.73,4.8609,0.0,US-2023-167927
272.94,30.0234,0.0,US-2023-167927
38.6,11.58,0.0,US-2023-147627
19.3,5.79,0.0,US-2023-148614
247.716,93.5816,0.1,US-2023-167927
22.96,6.6584,0.0,US-2023-147627
6.63,1.7901,0.0,US-2023-147627
43.92,12.7368,0.0,US-2023-167927
19.05,8.9535,0.0,US-2023-167927
67.194,-51.5154,0.7,US-2023-147774
29.7,13.365,0.0,US-2023-167927
23.34,10.9698,0.0,US-2023-147627
19.36,9.2928,0.0,US-2023-148614
13.98,4.0542,0.0,US-2023-167927
66.58,15.9792,0.0,US-2023-167927
699.93,181.9818,0.0,US-2023-147627
25.248,4.1028,0.2,US-2023-110422
24.3,10.45,0.0,CA-2023-115238
9.48,3.79,0.0,CA-2023-115238
31.4,13.19,0.0,CA-2023-115238
6.48,3.11,0.0,CA-2023-115238
209.5,58.66,0.0,CA-2023-115238
5.94,0.0,0.0,US-2023-146997
40.08,19.2384,0.0,US-2023-102645
141.96,39.7488,0.0,US-2023-167997
12.42,4.4712,0.0,US-2023-155502
62.82,30.7818,0.0,US-2023-155502
10.68,5.0196,0.0,US-2023-167997
16.68,8.34,0.0,US-2023-155502
19.44,9.3312,0.0,US-2023-155502
489.92,0.0,0.0,US-2023-155502
187.98,52.6344,0.0,US-2023-155502
155.35,0.0,0.0,US-2023-155502
333.0,-16.65,0.2,US-2023-117163
36.44,12.0252,0.0,US-2023-117163
57.23,14.3075,0.0,US-2023-117163
3.928,1.3257,0.2,US-2023-100328
10.56,4.752,0.0,US-2023-134103
229.94,6.8982,0.0,US-2023-134103
290.666,3.4196,0.15,US-2023-115161
468.9,206.316,0.0,US-2023-140795
18.336,-12.224,0.7,US-2023-123400
12.35,5.8045,0.0,US-2023-139857
180.96,13.572,0.2,US-2023-123400
13.272,4.3134,0.2,US-2023-111059
83.84,27.248,0.2,US-2023-111059
17.248,6.0368,0.2,US-2023-104808
82.896,29.0136,0.2,US-2023-107181
34.24,16.0928,0.0,US-2023-107181
8.952,-14.7708,0.8,US-2023-108182
15.0,7.2,0.0,US-2023-131905
144.95,42.0355,0.0,US-2023-131905
161.61,42.0186,0.0,US-2023-131905
64.96,9.744,0.0,US-2023-169390
115.36,49.6048,0.0,US-2023-107755
14.56,5.5328,0.0,US-2023-125759
60.89,15.2225,0.0,US-2023-168368
332.94,53.2704,0.0,US-2023-168368
1256.22,75.3732,0.0,US-2023-127614
17.46,8.2062,0.0,US-2023-127614
51.9,24.393,0.0,US-2023-168368
9.64,4.4344,0.0,US-2023-168368
14.94,6.8724,0.0,US-2023-168368
64.96,2.5984,0.0,US-2023-168368
234.45,103.158,0.0,US-2023-127614
129.568,-24.294,0.2,US-2023-110674
81.96,22.9488,0.0,US-2023-121762
16.176,6.066,0.2,US-2023-107706
238.62,4.7724,0.0,US-2023-121762
239.97,86.3892,0.0,US-2023-121762
21.36,7.209,0.2,US-2023-165568
7.96,-13.93,0.8,US-2023-122567
1.08,-1.728,0.8,US-2023-122567
54.208,8.8088,0.2,US-2023-154165
25.16,-11.322,0.6,US-2023-165589
12.624,-2.5248,0.2,US-2023-152905
20.32,6.9088,0.0,US-2023-109491
12.96,6.2208,0.0,US-2023-164903
62.31,22.4316,0.0,US-2023-109491
8.85,-13.7175,0.8,US-2023-165540
19.44,9.3312,0.0,US-2023-133354
4.428,-6.8634,0.8,US-2023-103744
6.936,2.3409,0.2,US-2023-103744
22.776,7.6869,0.2,US-2023-137680
32.896,11.1024,0.2,US-2023-137680
19.456,3.4048,0.2,US-2023-156545
634.116,-172.1172,0.3,US-2023-113880
362.25,0.0,0.3,US-2023-131009
457.568,51.4764,0.2,US-2023-104269
63.552,-34.9536,0.6,US-2023-131009
376.509,-43.0296,0.3,US-2023-168312
18.84,-3.5325,0.2,US-2023-131009
17.472,5.6784,0.2,US-2023-113880
129.552,-22.6716,0.2,US-2023-131009
137.352,8.5845,0.2,US-2023-168312
5.94,1.6038,0.0,US-2023-143707
11.36,5.3392,0.0,US-2023-107524
3.424,1.07,0.2,US-2023-111157
36.4,17.472,0.0,US-2023-107524
151.2,32.13,0.2,US-2023-111157
302.45,-199.617,0.5,US-2023-127978
626.352,-23.4882,0.2,US-2023-105648
176.772,-459.6072,0.8,US-2023-130421
19.456,3.4048,0.2,US-2023-155852
25.32,9.1785,0.2,US-2023-127964
125.76,40.872,0.2,US-2023-127964
15.12,4.914,0.2,US-2023-127978
44.672,-10.0512,0.2,US-2023-127978
9.99,4.5954,0.0,US-2023-127964
15.552,2.3328,0.2,US-2023-117016
354.9,17.745,0.0,US-2023-116239
59.52,15.4752,0.0,US-2023-169061
49.632,16.7508,0.2,US-2023-169061
97.82,45.9754,0.0,US-2023-169061
18.62,5.3998,0.0,US-2023-169061
479.97,177.5889,0.0,US-2023-169061
436.704,21.8352,0.2,US-2023-104563
48.712,5.4801,0.2,US-2023-156587
481.568,54.1764,0.2,US-2023-104563
20.65,9.499,0.0,US-2023-104563
17.94,4.6644,0.0,US-2023-156587
107.648,33.64,0.2,US-2023-131982
204.9,0.0,0.0,US-2023-104563
242.94,4.8588,0.0,US-2023-156587
83.168,9.3564,0.2,US-2023-140116
22.38,10.7424,0.0,US-2023-100279
636.408,-15.9102,0.2,US-2023-140116
8.32,2.288,0.2,US-2023-166884
146.76,38.1576,0.0,US-2023-114790
7.98,2.0748,0.0,US-2023-103338
10.464,1.7004,0.2,US-2023-166884
14.94,7.0218,0.0,US-2023-114790
108.92,49.014,0.0,US-2023-158337
32.96,14.1728,0.0,US-2023-114790
587.97,164.6316,0.0,US-2023-114790
915.14,102.95,0.2,CA-2023-139675
327.76,91.77,0.0,CA-2023-139675
1139.92,284.98,0.0,US-2023-125521
3.38,1.2506,0.0,US-2023-157623
33.088,11.1672,0.2,US-2023-114510
62.048,20.1656,0.2,US-2023-114510
91.056,31.8696,0.2,US-2023-100293
10.56,4.752,0.0,US-2023-157623
8.448,2.64,0.2,US-2023-152618
80.98,3.2392,0.0,US-2023-114510
21.36,5.7672,0.0,US-2023-114510
82.8,6.624,0.0,US-2023-114510
574.91,156.047,0.3,US-2023-152618
