PostalCode,Region,Country,State,City
94110,West,United States,California,San Francisco
13021,East,United States,New York,Auburn
12180,East,United States,New York,Troy
77036,Central,United States,Texas,Houston
33614,South,United States,Florida,Tampa
98103,West,United States,Washington,Seattle
21215,East,United States,Maryland,Baltimore
95123,West,United States,California,San Jose
5408,East,United States,Vermont,Burlington
75220,Central,United States,Texas,Dallas
53081,Central,United States,Wisconsin,Sheboygan
47201,Central,United States,Indiana,Columbus
38109,South,United States,Tennessee,Memphis
10024,East,United States,New York,New York City
53711,Central,United States,Wisconsin,Madison
93101,West,United States,California,Santa Barbara
77095,Central,United States,Texas,Houston
43615,East,United States,Ohio,Toledo
48227,Central,United States,Michigan,Detroit
85023,West,United States,Arizona,Phoenix
30076,South,United States,Georgia,Roswell
33012,South,United States,Florida,Hialeah
95661,West,United States,California,Roseville
19134,East,United States,Pennsylvania,Philadelphia
98105,West,United States,Washington,Seattle
49201,Central,United States,Michigan,Jackson
40214,South,United States,Kentucky,Louisville
77095,Central,United States,Texas,Houston
30318,South,United States,Georgia,Atlanta
19120,East,United States,Pennsylvania,Philadelphia
48183,Central,United States,Michigan,Trenton
40475,South,United States,Kentucky,Richmond
90049,West,United States,California,Los Angeles
76706,Central,United States,Texas,Waco
78664,Central,United States,Texas,Round Rock
94110,West,United States,California,San Francisco
22153,South,United States,Virginia,Springfield
98105,West,United States,Washington,Seattle
85301,West,United States,Arizona,Glendale
78539,Central,United States,Texas,Edinburg
47201,Central,United States,Indiana,Columbus
77095,Central,United States,Texas,Houston
2920,East,United States,Rhode Island,Cranston
98115,West,United States,Washington,Seattle
27217,South,United States,North Carolina,Burlington
92105,West,United States,California,San Diego
77095,Central,United States,Texas,Houston
58103,Central,United States,North Dakota,Fargo
95928,West,United States,California,Chico
10035,East,United States,New York,New York City
33068,South,United States,Florida,Pompano Beach
60610,Central,United States,Illinois,Chicago
94601,West,United States,California,Oakland
21215,East,United States,Maryland,Baltimore
10009,East,United States,New York,New York City
76017,Central,United States,Texas,Arlington
1453,East,United States,Massachusetts,Leominster
95661,West,United States,California,Roseville
57103,Central,United States,South Dakota,Sioux Falls
97301,West,United States,Oregon,Salem
77095,Central,United States,Texas,Houston
