Ship_Mode,Ship_Date,Order_ID
Standard Class,2023-01-07,US-2023-103800
Standard Class,2023-01-08,US-2023-112326
Standard Class,2023-01-08,US-2023-112326
Standard Class,2023-01-08,US-2023-112326
Standard Class,2023-01-12,US-2023-141817
Standard Class,2023-01-10,US-2023-167199
Standard Class,2023-01-10,US-2023-167199
First Class,2023-01-07,US-2023-106054
Standard Class,2023-01-10,US-2023-167199
Standard Class,2023-01-10,US-2023-167199
Standard Class,2023-01-10,US-2023-167199
Second Class,2023-01-08,US-2023-130813
Standard Class,2023-01-10,US-2023-167199
Standard Class,2023-01-10,US-2023-167199
Standard Class,2023-01-12,US-2023-105417
Standard Class,2023-01-12,US-2023-105417
Standard Class,2023-01-13,US-2023-135405
Standard Class,2023-01-13,US-2023-135405
Standard Class,2023-01-15,US-2023-149020
Standard Class,2023-01-15,US-2023-149020
First Class,2023-01-14,US-2023-130092
Standard Class,2023-01-18,US-2023-157147
Second Class,2023-01-16,US-2023-109232
Standard Class,2023-01-18,US-2023-157147
Standard Class,2023-01-18,US-2023-118192
Second Class,2023-01-15,US-2023-162775
Second Class,2023-01-15,US-2023-162775
Second Class,2023-01-15,US-2023-162775
Standard Class,2023-01-18,US-2023-118192
Second Class,2023-01-15,US-2023-162775
Standard Class,2023-01-18,US-2023-157147
Second Class,2023-01-15,US-2023-162775
First Class,2023-01-15,US-2023-149524
First Class,2023-01-17,US-2023-103366
Second Class,2023-01-18,US-2023-115791
Second Class,2023-01-18,US-2023-115791
Second Class,2023-01-18,US-2023-115791
Second Class,2023-01-18,US-2023-115791
Second Class,2023-01-21,US-2023-123477
First Class,2023-01-20,US-2023-146591
First Class,2023-01-20,US-2023-146591
First Class,2023-01-20,US-2023-146591
First Class,2023-01-20,US-2023-146591
Standard Class,2023-01-26,US-2023-147627
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-147627
Standard Class,2023-01-25,US-2023-148614
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-147627
Standard Class,2023-01-26,US-2023-147627
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-147774
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-147627
Standard Class,2023-01-25,US-2023-148614
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-167927
Standard Class,2023-01-26,US-2023-147627
Second Class,2023-01-23,US-2023-110422
Standard Class,2023-01-24,CA-2023-115238
Standard Class,2023-01-24,CA-2023-115238
Standard Class,2023-01-24,CA-2023-115238
Standard Class,2023-01-24,CA-2023-115238
Standard Class,2023-01-24,CA-2023-115238
Standard Class,2023-01-27,US-2023-146997
Standard Class,2023-01-28,US-2023-102645
First Class,2023-01-29,US-2023-167997
Standard Class,2023-01-31,US-2023-155502
Standard Class,2023-01-31,US-2023-155502
First Class,2023-01-29,US-2023-167997
Standard Class,2023-01-31,US-2023-155502
Standard Class,2023-01-31,US-2023-155502
Standard Class,2023-01-31,US-2023-155502
Standard Class,2023-01-31,US-2023-155502
Standard Class,2023-01-31,US-2023-155502
Standard Class,2023-02-02,US-2023-117163
Standard Class,2023-02-02,US-2023-117163
Standard Class,2023-02-02,US-2023-117163
Standard Class,2023-02-03,US-2023-100328
Standard Class,2023-02-04,US-2023-134103
Standard Class,2023-02-04,US-2023-134103
First Class,2023-02-02,US-2023-115161
First Class,2023-02-03,US-2023-140795
Standard Class,2023-02-09,US-2023-123400
Standard Class,2023-02-06,US-2023-139857
Standard Class,2023-02-09,US-2023-123400
Second Class,2023-02-06,US-2023-111059
Second Class,2023-02-06,US-2023-111059
Second Class,2023-02-08,US-2023-104808
Standard Class,2023-02-08,US-2023-107181
Standard Class,2023-02-08,US-2023-107181
Second Class,2023-02-10,US-2023-108182
First Class,2023-02-09,US-2023-131905
First Class,2023-02-09,US-2023-131905
First Class,2023-02-09,US-2023-131905
Second Class,2023-02-10,US-2023-169390
Standard Class,2023-02-12,US-2023-107755
First Class,2023-02-09,US-2023-125759
Second Class,2023-02-15,US-2023-168368
Second Class,2023-02-15,US-2023-168368
Standard Class,2023-02-15,US-2023-127614
Standard Class,2023-02-15,US-2023-127614
Second Class,2023-02-15,US-2023-168368
Second Class,2023-02-15,US-2023-168368
Second Class,2023-02-15,US-2023-168368
